English Remarks,Medicine Type,dose
Apply Four Time,Tube ,1-1-1-1
Apply Morning - Evening,Cream ,1-0-1
Apply Morning - Afternoon,Cream  ,1/1/00
Apply  Afternoon Ð Evening,Cream ,0-1-1
Apply Four Time,Cream ,1-1-1-1
Apply Morning - Afternoon Ð Evening,Cream ,1/1/01
One Spoon Morning - Noon Ð Evening,Powder ,1/1/01
One Spoon Morning - Evening,Powder ,1-0-1
One Spoon Morning - Noon,Powder ,1/1/00
Two Spoon Morning - Evening,Powder ,2-0-2
Apply Morning - Evening,Lotion ,1-0-1
Apply Morning - Afternoon,Lotion ,1/1/00
Apply  Afternoon Ð Evening,Lotion ,0-1-1
Apply Four Time,Lotion ,1-1-1-1
Apply Morning - Afternoon Ð Evening,Lotion ,1/1/01
Five Drops Morning - Afternoon - Evening,Drop ,1/1/01
Four Drops Morning - Afternoon ,Drop ,1/1/00
Four Drops Morning - Evening,Drop ,1-0-1
Four Drops Afternoon - Evening,Drop ,0-1-1
-,Cap,0-0-1
1 Morning - 1 Night,Bottle ,1-0-1
Morning  -  Night,Ointment ,1-0-1
-,Bandage,1-0-0
-,Box,1-0-0
-,Cathater,1-0-0
-,Condom,0-0-1
-,Ampule,1-0-0
2 TSF  Morning - Night,Elixir  ,1-0-1
 Morning - Night,Gargle  ,1-0-1
Morning,Gel ,1-0-0
 Morning - Night,Gelly ,1-0-1
-,General,1-0-0
-,I/V ,1-0-0
-,Liquid,1/1/01
-,Needle,1-0-0
 Morning - Night,Respule ,1-0-1
-,Soap,1/1/01
-,Solution,1/1/01
-,Spray,1/1/01
 Morning - Night,Susp. ,1-0-1
2 TSF Morning - 2 TSF Evening,Syp  ,2-0-2
2 TSF HS,Susp. ,0-0-2
1 TSF HS, ,0-0-1
2 TSF BD, ,2-0-2
3 tab/wks.,Tab ,3
1 stat,Inj. ,1-0-0
-,Inj.,-
1 morning,Ampule ,1-0-0
,,
1 noon,Inj. ,0-1-0
1 amp stat,Inj. ,1-0-0
1 amp stat,Inj. ,0-0-1
1 amp Alternate Day,Inj. ,0-1-0
1 amp in Every Three Mth.,Inj. ,1-0-0
1 OD,Tab ,0-0-1
*****,*****,*****
1/2 amp stat,Inj. ,1/2-0-0
-,*,*
 Morning - Night,Elixir ,1-0-1
 Morning - Night,Gargle ,1-0-1
 Morning - Night,Gel  ,1-0-1
 Morning - Night,Gelly  ,1-0-1
-,General ,1-0-0
2 tsf morning noon evening,Liquid ,1/1/01
-,Needle,1-0-0
 Morning - Night,Respule ,1-0-1
-,Soap,1/1/01
Use morning evening ,Solution ,1-0-1
spray 3 times a day,Spray ,1/1/01
1 tsf Morning - Night,Susp. ,1-0-1
1 ml morning evening,Drop ,1-0-1
1 ml morning noon evening,Drop ,1/1/01
0.5 ml morning evening,Drop ,1/2-0-1/2
0.5 ml morning noon evening,Drop ,1/2-1/2-1/2
1 spoon morning evening,Elixir ,1-0-1
2 spoon morning evening,Elixir ,2-0-2
1 spoon morning noon evening,Elixir ,1/1/01
2 spoon morning noon evening,Elixir ,2/2/02
gargle 2 times,Gargle ,1-0-1
gargle 3 times,Gargle ,1/1/01
morning evening,Gel ,1-0-1
morning evening,Gelly ,1-0-1
morning noon evening,Gel ,1/1/01
morning noon evening,Gelly ,1/1/01
1 morning,Inj.,1-0-0
1 night,Inj. ,0-0-1
1 stat,Inj. ,0-1-0
1 tsf morning noon evening,Liquid ,1/1/01
1/2 spoon morning noon evening,Liquid ,1/2-1/2-1/2
1 tsf morning evening,Liquid ,1-0-1
2 tsf morning evening,Liquid ,2-0-2
1/2 spoon morning evening,Liquid ,1/2-0-1/2
3 tsf H.S,Liquid ,0-0-3
1 tsf H.S,Liquid ,0-0-1
2 tsf H.S,Liquid ,0-0-2
Take Steam,Respule ,1-0-0
Take Steam,Respule ,0-0-1
For Bath,Soap ,1-0-1
For Bath,Soap ,1-0-0
For Bath,Soap ,0-0-1
Apply morning noon evening,Ointment ,1/1/01
Apply at night,Ointment ,0-0-1
apply morning,Ointment ,1-0-0
Apply morning evening,Powder ,1-0-1
Apply morning noon evening,Powder ,1/1/01
Apply in morning,Powder ,1-0-0
Apply at evening,Powder ,0-0-1
Apply morning evening,Ointment ,1-0-1
Apply evening,Tube ,0-0-1
Apply morning,Tube ,1-0-0
apply evening,Cream ,0-0-1
apply morning,Cream ,1-0-0
use evening,Solution ,0-0-1
use morning,Solution ,1-0-0
2 spoon morning evening,Syp ,2-0-2
2 spoon morning evening,Susp. ,2-0-2
2 tsf evening,Syp ,0-0-2
2 tsf evening,Susp. ,0-0-2
2 tsf morning noon evening ,Syp ,2/2/02
2 tsf morning noon evening ,Susp. ,2/2/02
1 tsf morning,Liquid ,1-0-0
1 tsf morning,Syp ,1-0-0
1 tsf morning,Susp. ,1-0-0
1 tsf evening,Susp. ,0-0-1
1 tsf evening,Syp ,0-0-1
1 drop at sleeping time,Drop ,0-0-1
2 drops at sleeping time,Drop ,0-0-2
3 drops at sleeping time,Drop ,0-0-1
1 drop in morning,Drop ,1-0-0
2 drops in morning,Drop ,2-0-0
3 drops in morning,Drop ,3-0-0
1 drop morning evening,Drop ,1-0-1
2 drops morning evening,Drop ,2-0-2
3 drops morning evening,Drop ,3-0-3
1 drop morning noon evening,Drop ,1/1/01
2 drops morning noon evening,Drop ,2/2/02
3 drops morning noon evening,Drop ,3/3/03
5 drops morning noon evening,Drop ,5/5/05
3 tsf at night,Susp. ,0-0-3
3 tsf at night,Syp ,0-0-3
2 tsf in morning,Liquid ,2-0-0
2 tsf in morning,Susp. ,2-0-0
3 tsf in morning,Liquid ,3-0-0
3 tsf in morning,Susp. ,3-0-0
3 tsf in morning,Syp ,3-0-0
2 morning evening,Tab ,2-0-2
2 morning evening,Cap ,2-0-2
2 morning noon evening,Tab ,2/2/02
2 morning noon evening,Cap ,2/2/02
Spray morning evening,Spray ,1-0-1
2 Evening,Tab ,0-0-2
1  tsf Morning Noon Evening,Susp. ,1/1/01
5 ml twice daily,Liquid ,1-0-1
1 tablet once a day,Tab  ,0-1-0
1 tablet once a day,Tab  ,0-0-1
2 table spoon twice daily,Liquid ,1-0-1
2 table spoon twice daily,Liquid ,2-0-2
half morning and one night,Tab ,1/2-0-1
one morning and half night,Tab ,1-0-1/2
"half morning, half noon and one night",Tab ,1/2-1/2-1
Two Noon,Tab ,0-2-0
Three Noon,Tab ,0-3-0
"One morning, Half noon and One night",Tab ,1-1/2-1
"one morning, one noon and half night",Tab ,1-1-1/2
"one morning, one noon and two night",Tab ,1/1/02
"one morning, two noon and one night",Tab ,2/1/01
"Two morning, two noon and three night",Tab ,2/2/03
"Three morning, three noon and half night",Tab ,3-3-1/2
"two morning, two noon, one and half night",Tab ,2-2-3/2
"3 morning, 3 noon, one and half night",Tab ,3-3-3/2
1 morning 1 night,Inj. ,1-0-1
1 morning 1 noon 1 night,Inj. ,1/1/01
4 times a day,Inj. ,1-1-1-1
apply 4 times a day,Gel ,1-1-1-1
4 drops 3 times a day,Drop ,4/4/04
3 times a day ,Liquid ,1/1/01
3 times with nebuliser,Liquid ,1/1/01
2 times with nebuliser,Liquid ,1-0-1
1 time with nebuliser,Liquid ,1-0-0
1 time with nebuliser,Liquid ,0-1-0
1 time with nebuliser,Liquid ,0-0-1
4 time with nebuliser,Liquid ,1-1-1-1
1 tsf at night,Syp  ,0-0-1
1 tsf at noon,Syp   ,0-1-0
2 tsf at morning,Syp  ,2-0-0
2 tsf at noon,Syp  ,0-2-0
2 tsf at night,Syp  ,0-0-2
half spoon in morning,Syp  ,1/2-0-0
half spoon at noon,Syp  ,0-1/2-0
half spoon at night,Syp  ,0-0-1/2
2 in morning,Cap  ,2-0-0
2 at noon,Cap ,0-2-0
2 at night,Cap ,0-0-2
4 times a day,Cap ,1-1-1-1
1 stat,I/V  ,1-0-0
1 stat,I/V  ,0-1-0
1 stat,I/V  ,0-0-1
1 at night,I/V  ,0-0-1
1 in morning,I/V  ,1-0-0
1 at night,Ampule ,0-0-1
1 morning,Ampule ,1-0-0
1 at noon,Ampule ,0-1-0
1 stat,Ampule ,0-0-1
1 stat,Ampule ,0-1-0
1 stat,Ampule ,1-0-0
morning night,Ampule ,1-0-1
morning noon night,Ampule ,1/1/01
noon night,Ampule ,0-1-1
morning noon,Ampule ,1/1/00
4 times s day,Drop ,1-1-1-1
stat,Vial ,0-1-0
stat,Vial ,0-0-1
stat,Vial ,1-0-0
Alternate Day,Ampule ,1-0-0
once weekly,Ampule ,1-0-0
2.5 ml morning,Syp  ,1-0-0
3.5 ml morning,Syp  ,1-0-0
5 ml morning,Syp  ,1-0-0
4 ml morning,Syp  ,1-0-0
6 ml morning,Syp  ,1-0-0
7 ml morning,Syp  ,1-0-0
7.5 ml morning,Syp  ,1-0-0
8 ml morning,Syp  ,1-0-0
9 ml morning,Syp  ,1-0-0
10 ml morning,Syp  ,1-0-0
15 ml morning,Syp  ,1-0-0
20 ml morning,Syp  ,1-0-0
2 ml morning,Syp  ,1-0-0
2 ml noon,Syp  ,0-1-0
2.5 ml at noon,Syp  ,0-1-0
3 ml at noon,Syp  ,0-1-0
3.5 ml at noon,Syp  ,0-1-0
4 ml at noon,Syp  ,0-1-0
4.5 ml at noon,Syp  ,0-1-0
5 ml at noon,Syp  ,0-1-0
6 ml at noon,Syp  ,0-1-0
6.5 ml at noon,Syp  ,0-1-0
7 ml at noon,Syp  ,0-1-0
7.5 ml at noon,Syp  ,0-1-0
8 ml at noon,Syp  ,0-1-0
8.5 ml at noon,Syp  ,0-1-0
9 ml at noon,Syp  ,0-1-0
10 ml at noon,Syp  ,0-1-0
15 ml at noon,Syp  ,0-1-0
20 ml at noon,Syp  ,0-1-0
30 ml at noon,Syp  ,0-1-0
30 ml morning,Syp  ,1-0-0
2 ml evening,Syp  ,0-0-1
2.5 ml evening,Syp  ,0-0-1
3 ml evening,Syp  ,0-0-1
3.5 ml evening,Syp  ,0-0-1
4 ml evening,Syp  ,0-0-1
4.5 ml evening,Syp  ,0-0-1
5 ml evening,Syp  ,0-0-1
6 ml evening,Syp  ,0-0-1
6.5 ml evening,Syp  ,0-0-1
7 ml evening,Syp  ,0-0-1
7.5 ml evening,Syp  ,0-0-1
8 ml evening,Syp  ,0-0-1
8.5 ml evening,Syp  ,0-0-1
9 ml evening,Syp  ,0-0-1
10 ml evening,Syp  ,0-0-1
15 ml evening,Syp  ,0-0-1
20 ml evening,Syp  ,0-0-1
30 ml evening,Syp  ,0-0-1
2 ml morning evening,Syp  ,1-0-1
2.5 ml morning evening,Syp  ,1-0-1
3 ml morning evening,Syp  ,1-0-1
3.5 ml morning evening,Syp  ,1-0-1
4 ml morning evening,Syp  ,1-0-1
4.5 ml morning evening,Syp  ,1-0-1
5 ml morning evening,Syp  ,1-0-1
6 ml morning evening,Syp  ,1-0-1
6.5 ml morning evening,Syp  ,1-0-1
7 ml morning evening,Syp  ,1-0-1
7.5 ml morning evening,Syp  ,1-0-1
8 ml morning evening,Syp  ,1-0-1
8.5 ml morning evening,Syp  ,1-0-1
9 ml morning evening,Syp  ,1-0-1
10 ml morning evening,Syp  ,1-0-1
15 ml morning evening,Syp  ,1-0-1
20 ml morning evening,Syp  ,1-0-1
30 ml morning evening,Syp  ,1-0-1
2 ml morning noon evening,Syp  ,1/1/01
2.5 ml morning noon evening,Syp ,1/1/01
3 ml morning noon evening,Syp ,1/1/01
3.5 ml morning noon evening,Syp ,1/1/01
4 ml morning noon evening,Syp ,1/1/01
4.5 ml morning noon evening,Syp ,1/1/01
5 ml morning noon evening,Syp ,1/1/01
6 ml morning noon evening,Syp ,1/1/01
6.5 ml morning noon evening,Syp ,1/1/01
7 ml morning noon evening,Syp ,1/1/01
7.5 ml morning noon evening,Syp ,1/1/01
8 ml morning noon evening,Syp ,1/1/01
8.5 ml morning noon evening,Syp ,1/1/01
9 ml morning noon evening,Syp ,1/1/01
10 ml morning noon evening,Syp ,1/1/01
15 ml morning noon evening,Syp ,1/1/01
20 ml morning noon evening,Syp ,1/1/01
30 ml morning noon evening,Syp ,1/1/01
2 ml 4 times a day,Syp  ,1-1-1-1
2.5 ml 4 times a day,Syp ,1-1-1-1
3 ml 4 times a day,Syp ,1-1-1-1
3.5 ml 4 times a day,Syp ,1-1-1-1
4 ml 4 times a day,Syp ,1-1-1-1
4.5 ml 4 times a day,Syp ,1-1-1-1
5 ml 4 times a day,Syp ,1-1-1-1
6 ml 4 times a day,Syp ,1-1-1-1
6.5 ml 4 times a day,Syp ,1-1-1-1
7 ml 4 times a day,Syp ,1-1-1-1
7.5 ml 4 times a day,Syp ,1-1-1-1
8 ml 4 times a day,Syp ,1-1-1-1
8.5 ml 4 times a day,Syp ,1-1-1-1
9 ml 4 times a day,Syp ,1-1-1-1
10 ml 4 times a day,Syp ,1-1-1-1
15 ml 4 times a day,Syp ,1-1-1-1
20 ml 4 times a day,Syp ,1-1-1-1
30 ml 4 times a day,Syp ,1-1-1-1
iv daily,I/V  ,1-0-0
iv alternate day,I/V  ,1-0-0
twice a week,I/V  ,1-0-0
once a week,I/V  ,1-0-0
morning evening,I/V  ,1-0-1
morning noon evening,I/V  ,1/1/01
once a week,Inj. ,1-0-0
twice a week,Inj. ,1-0-0
2 ml morning noon,Syp  ,1/1/00
2.5 ml morning noon,Syp ,1/1/00
3 ml morning noon,Syp ,1/1/00
3.5 ml morning noon,Syp ,1/1/00
4 ml morning noon,Syp ,1/1/00
4.5 ml morning noon,Syp ,1/1/00
5 ml morning noon,Syp ,1/1/00
6 ml morning noon,Syp ,1/1/00
6.5 ml morning noon,Syp ,1/1/00
7 ml morning noon,Syp ,1/1/00
7.5 ml morning noon,Syp ,1/1/00
8 ml morning noon,Syp ,1/1/00
9 ml morning noon,Syp ,1/1/00
10 ml morning noon,Syp ,1/1/00
15 ml morning noon,Syp ,1/1/00
20 ml morning noon,Syp ,1/1/00
30 ml morning noon,Syp ,1/1/00
2 ml noon evening,Syp  ,0-1-1
2.5 ml noon evening,Syp ,0-1-1
3 ml noon evening,Syp ,0-1-1
3.5 ml noon evening,Syp ,0-1-1
4 ml noon evening,Syp ,0-1-1
4.5 ml noon evening,Syp ,0-1-1
5 ml noon evening,Syp ,0-1-1
6 ml noon evening,Syp ,0-1-1
6.5 ml noon evening,Syp ,0-1-1
7 ml noon evening,Syp ,0-1-1
7.5 ml noon evening,Syp ,0-1-1
8 ml noon evening,Syp ,0-1-1
9 ml noon evening,Syp ,0-1-1
10 ml noon evening,Syp ,0-1-1
15 ml noon evening,Syp ,0-1-1
20 ml noon evening,Syp ,0-1-1
30 ml noon evening,Syp ,0-1-1
